config,level,scenario,seed,team,result,wave,lives,kills,draws,spent,coins,maxTowers,maxTier,time
balance.json,glade,idle-1-star,7,falcon+falcon,Won,6,16,59,0,0,1699,1,1,229.0
balance.json,glade,idle-2-star,7,falcon+falcon,Won,6,20,60,0,0,1759,2,1,147.2
balance.json,glade,idle-2-star,7,falcon+sprout,Won,6,20,60,0,0,1759,2,1,163.5
balance.json,glade,idle-2-star,7,falcon+otter,Won,6,20,60,0,0,1759,2,1,181.4
balance.json,glade,idle-2-star,7,falcon+fox,Won,6,20,60,0,0,1759,2,1,159.5
balance.json,glade,idle-2-star,7,falcon+turtle,Won,6,20,60,0,0,1759,2,1,219.2
balance.json,glade,idle-2-star,7,falcon+deer,Won,6,20,60,0,0,1759,2,1,181.8
balance.json,glade,idle-2-star,7,falcon+bat,Won,6,20,60,0,0,1759,2,1,157.1
balance.json,glade,idle-1-star,7,sprout+sprout,Won,6,6,53,0,0,1619,1,1,216.0
balance.json,glade,idle-2-star,7,sprout+sprout,Won,6,16,59,0,0,1699,2,1,175.1
balance.json,glade,idle-2-star,7,sprout+otter,Won,6,20,60,0,0,1759,2,1,163.0
balance.json,glade,idle-2-star,7,sprout+fox,Won,6,20,60,0,0,1759,2,1,122.4
balance.json,glade,idle-2-star,7,sprout+turtle,Won,6,20,60,0,0,1759,2,1,213.9
balance.json,glade,idle-2-star,7,sprout+deer,Won,6,20,60,0,0,1759,2,1,142.8
balance.json,glade,idle-2-star,7,sprout+bat,Won,6,20,60,0,0,1759,2,1,135.3
balance.json,glade,idle-1-star,7,otter+otter,Won,6,4,52,0,0,1604,1,1,268.6
balance.json,glade,idle-2-star,7,otter+otter,Won,6,20,60,0,0,1759,2,1,169.8
balance.json,glade,idle-2-star,7,otter+fox,Won,6,20,60,0,0,1759,2,1,135.5
balance.json,glade,idle-2-star,7,otter+turtle,Won,6,10,56,0,0,1654,2,1,254.7
balance.json,glade,idle-2-star,7,otter+deer,Won,6,18,59,0,0,1744,2,1,176.1
balance.json,glade,idle-2-star,7,otter+bat,Won,6,20,60,0,0,1759,2,1,160.9
balance.json,glade,idle-1-star,7,fox+fox,Won,6,16,59,0,0,1699,1,1,202.1
balance.json,glade,idle-2-star,7,fox+fox,Won,6,16,59,0,0,1699,2,1,202.1
balance.json,glade,idle-2-star,7,fox+turtle,Won,6,16,59,0,0,1699,2,1,202.6
balance.json,glade,idle-2-star,7,fox+deer,Won,6,20,60,0,0,1759,2,1,123.1
balance.json,glade,idle-2-star,7,fox+bat,Won,6,20,60,0,0,1759,2,1,123.4
balance.json,glade,idle-1-star,7,turtle+turtle,Won,6,8,55,0,0,1639,1,1,322.0
balance.json,glade,idle-2-star,7,turtle+turtle,Won,6,16,59,0,0,1699,2,1,231.1
balance.json,glade,idle-2-star,7,turtle+deer,Won,6,12,57,0,0,1669,2,1,260.9
balance.json,glade,idle-2-star,7,turtle+bat,Won,6,16,59,0,0,1699,2,1,209.5
balance.json,glade,idle-1-star,7,deer+deer,Lost,6,0,44,0,0,1385,1,1,257.9
balance.json,glade,idle-2-star,7,deer+deer,Won,6,12,57,0,0,1669,2,1,180.7
balance.json,glade,idle-2-star,7,deer+bat,Won,6,20,60,0,0,1759,2,1,141.7
balance.json,glade,idle-1-star,7,bat+bat,Won,6,6,53,0,0,1619,1,1,216.0
balance.json,glade,idle-2-star,7,bat+bat,Won,6,20,60,0,0,1759,2,1,128.0
balance.json,glade,managed-star,7,falcon+sprout+otter,Won,6,20,60,31,1550,209,13,3,87.3
balance.json,glade,managed-no-star,7,falcon+sprout+otter,Won,6,20,60,31,1550,209,13,3,86.7
balance.json,glade,managed-star,19,falcon+sprout+otter,Won,6,20,60,31,1550,209,12,3,89.9
balance.json,glade,managed-no-star,19,falcon+sprout+otter,Won,6,20,60,31,1550,209,12,3,90.5
balance.json,glade,managed-star,41,falcon+sprout+otter,Won,6,20,60,31,1550,209,13,3,81.4
balance.json,glade,managed-no-star,41,falcon+sprout+otter,Won,6,20,60,31,1550,209,13,3,83.4
balance.json,glade,managed-star,73,falcon+sprout+otter,Won,6,20,60,31,1550,209,12,3,87.5
balance.json,glade,managed-no-star,73,falcon+sprout+otter,Won,6,20,60,31,1550,209,12,3,87.8
balance.json,glade,managed-star,101,falcon+sprout+otter,Won,6,20,60,31,1550,209,12,3,85.8
balance.json,glade,managed-no-star,101,falcon+sprout+otter,Won,6,20,60,31,1550,209,12,3,85.5
balance.json,brook,idle-1-star,7,falcon+falcon,Lost,7,0,75,0,0,1852,1,1,306.9
balance.json,brook,idle-2-star,7,falcon+falcon,Won,8,4,105,0,0,2470,2,1,308.3
balance.json,brook,idle-2-star,7,falcon+sprout,Won,8,4,105,0,0,2470,2,1,309.2
balance.json,brook,idle-2-star,7,falcon+otter,Lost,8,0,97,0,0,2235,2,1,339.7
balance.json,brook,idle-2-star,7,falcon+fox,Won,8,10,108,0,0,2515,2,1,282.8
balance.json,brook,idle-2-star,7,falcon+turtle,Lost,8,0,101,0,0,2280,2,1,378.1
balance.json,brook,idle-2-star,7,falcon+deer,Lost,8,0,96,0,0,2215,2,1,335.6
balance.json,brook,idle-2-star,7,falcon+bat,Won,8,2,104,0,0,2455,2,1,308.2
balance.json,brook,idle-1-star,7,sprout+sprout,Lost,6,0,49,0,0,1452,1,1,231.6
balance.json,brook,idle-2-star,7,sprout+sprout,Lost,8,0,92,0,0,2178,2,1,307.2
balance.json,brook,idle-2-star,7,sprout+otter,Lost,8,0,100,0,0,2275,2,1,328.7
balance.json,brook,idle-2-star,7,sprout+fox,Won,8,4,105,0,0,2470,2,1,275.9
balance.json,brook,idle-2-star,7,sprout+turtle,Lost,8,0,99,0,0,2255,2,1,367.0
balance.json,brook,idle-2-star,7,sprout+deer,Lost,8,0,95,0,0,2216,2,1,299.7
balance.json,brook,idle-2-star,7,sprout+bat,Lost,8,0,98,0,0,2246,2,1,295.5
balance.json,brook,idle-1-star,7,otter+otter,Lost,5,0,38,0,0,1218,1,1,235.3
balance.json,brook,idle-2-star,7,otter+otter,Lost,7,0,80,0,0,1912,2,1,301.7
balance.json,brook,idle-2-star,7,otter+fox,Won,8,8,107,0,0,2500,2,1,283.6
balance.json,brook,idle-2-star,7,otter+turtle,Lost,7,0,77,0,0,1878,2,1,349.4
balance.json,brook,idle-2-star,7,otter+deer,Lost,7,0,73,0,0,1833,2,1,288.3
balance.json,brook,idle-2-star,7,otter+bat,Lost,8,0,90,0,0,2140,2,1,328.0
