config,level,scenario,seed,team,result,wave,lives,kills,draws,spent,coins,maxTowers,maxTier,time
balance.json,glade,idle-1-star,7,falcon+falcon,Lost,5,0,22,0,0,405,1,1,182.5
balance.json,glade,idle-2-star,7,falcon+falcon,Lost,6,0,41,0,0,555,2,1,216.2
balance.json,glade,idle-2-star,7,falcon+sprout,Lost,6,0,40,0,0,547,2,1,214.2
balance.json,glade,idle-2-star,7,falcon+otter,Lost,5,0,33,0,0,464,2,1,189.4
balance.json,glade,idle-2-star,7,falcon+fox,Lost,6,0,50,0,0,606,2,1,233.3
balance.json,glade,idle-2-star,7,falcon+turtle,Lost,6,0,42,0,0,557,2,1,219.5
balance.json,glade,idle-2-star,7,falcon+deer,Lost,6,0,38,0,0,534,2,1,213.5
balance.json,glade,idle-2-star,7,falcon+bat,Lost,6,0,41,0,0,555,2,1,219.3
balance.json,glade,idle-1-star,7,sprout+sprout,Lost,5,0,21,0,0,400,1,1,193.1
balance.json,glade,idle-2-star,7,sprout+sprout,Lost,5,0,28,0,0,444,2,1,180.7
balance.json,glade,idle-2-star,7,sprout+otter,Lost,5,0,32,0,0,459,2,1,192.3
balance.json,glade,idle-2-star,7,sprout+fox,Lost,6,0,50,0,0,606,2,1,233.7
balance.json,glade,idle-2-star,7,sprout+turtle,Lost,6,0,39,0,0,543,2,1,229.4
balance.json,glade,idle-2-star,7,sprout+deer,Lost,6,0,37,0,0,527,2,1,224.6
balance.json,glade,idle-2-star,7,sprout+bat,Lost,6,0,38,0,0,535,2,1,220.4
balance.json,glade,idle-1-star,7,otter+otter,Lost,4,0,16,0,0,339,1,1,172.9
balance.json,glade,idle-2-star,7,otter+otter,Lost,5,0,30,0,0,446,2,1,188.8
balance.json,glade,idle-2-star,7,otter+fox,Lost,6,0,44,0,0,566,2,1,221.3
balance.json,glade,idle-2-star,7,otter+turtle,Lost,5,0,29,0,0,439,2,1,186.5
balance.json,glade,idle-2-star,7,otter+deer,Lost,5,0,30,0,0,447,2,1,183.4
balance.json,glade,idle-2-star,7,otter+bat,Lost,5,0,31,0,0,451,2,1,185.4
balance.json,glade,idle-1-star,7,fox+fox,Lost,5,0,27,0,0,432,1,1,186.2
balance.json,glade,idle-2-star,7,fox+fox,Won,6,2,52,0,0,663,2,1,233.2
balance.json,glade,idle-2-star,7,fox+turtle,Lost,6,0,47,0,0,587,2,1,236.6
balance.json,glade,idle-2-star,7,fox+deer,Lost,6,0,47,0,0,588,2,1,224.0
balance.json,glade,idle-2-star,7,fox+bat,Lost,6,0,47,0,0,585,2,1,221.0
balance.json,glade,idle-1-star,7,turtle+turtle,Lost,5,0,21,0,0,401,1,1,178.3
balance.json,glade,idle-2-star,7,turtle+turtle,Lost,6,0,44,0,0,570,2,1,234.8
balance.json,glade,idle-2-star,7,turtle+deer,Lost,6,0,38,0,0,535,2,1,214.6
balance.json,glade,idle-2-star,7,turtle+bat,Lost,6,0,39,0,0,543,2,1,228.7
balance.json,glade,idle-1-star,7,deer+deer,Lost,4,0,9,0,0,309,1,1,154.5
balance.json,glade,idle-2-star,7,deer+deer,Lost,5,0,25,0,0,423,2,1,181.7
balance.json,glade,idle-2-star,7,deer+bat,Lost,5,0,31,0,0,458,2,1,192.0
balance.json,glade,idle-1-star,7,bat+bat,Lost,4,0,17,0,0,345,1,1,159.6
balance.json,glade,idle-2-star,7,bat+bat,Lost,5,0,32,0,0,463,2,1,185.8
balance.json,glade,managed-star,7,falcon+sprout+otter,Won,6,20,60,11,660,94,12,2,142.3
balance.json,glade,managed-no-star,7,falcon+sprout+otter,Won,6,20,60,11,660,94,12,2,149.3
balance.json,glade,managed-star,7,fox+otter+falcon,Won,6,20,60,11,660,94,12,2,138.9
balance.json,glade,managed-no-star,7,fox+otter+falcon,Won,6,20,60,11,660,94,12,2,136.2
balance.json,glade,managed-star,19,falcon+sprout+otter,Won,6,20,60,11,660,94,12,2,142.1
balance.json,glade,managed-no-star,19,falcon+sprout+otter,Won,6,20,60,11,660,94,12,2,150.0
balance.json,glade,managed-star,19,fox+otter+falcon,Won,6,20,60,11,660,94,12,2,139.2
balance.json,glade,managed-no-star,19,fox+otter+falcon,Won,6,20,60,11,660,94,12,2,139.2
balance.json,glade,managed-star,41,falcon+sprout+otter,Won,6,20,60,11,660,94,12,2,142.1
balance.json,glade,managed-no-star,41,falcon+sprout+otter,Won,6,20,60,11,660,94,12,2,148.2
balance.json,glade,managed-star,41,fox+otter+falcon,Won,6,20,60,11,660,94,12,2,130.7
balance.json,glade,managed-no-star,41,fox+otter+falcon,Won,6,20,60,11,660,94,12,2,132.6
balance.json,glade,managed-star,73,falcon+sprout+otter,Won,6,20,60,11,660,94,12,2,141.0
balance.json,glade,managed-no-star,73,falcon+sprout+otter,Won,6,20,60,11,660,94,12,2,145.8
balance.json,glade,managed-star,73,fox+otter+falcon,Won,6,20,60,11,660,94,12,2,145.4
balance.json,glade,managed-no-star,73,fox+otter+falcon,Won,6,20,60,11,660,94,12,2,145.7
balance.json,glade,managed-star,101,falcon+sprout+otter,Won,6,20,60,11,660,94,12,2,126.8
balance.json,glade,managed-no-star,101,falcon+sprout+otter,Won,6,20,60,11,660,94,12,2,134.3
balance.json,glade,managed-star,101,fox+otter+falcon,Won,6,20,60,11,660,94,12,2,116.4
balance.json,glade,managed-no-star,101,fox+otter+falcon,Won,6,20,60,11,660,94,12,2,120.5
balance.json,brook,idle-1-star,7,falcon+falcon,Lost,3,0,14,0,0,300,1,1,126.7
