config,level,scenario,seed,team,result,wave,lives,kills,draws,spent,coins,maxTowers,maxTier,time
balance.json,glade,idle-1-star,7,falcon+falcon,Lost,5,0,22,0,0,404,1,1,181.9
balance.json,glade,idle-2-star,7,falcon+falcon,Lost,6,0,40,0,0,553,2,1,213.4
balance.json,glade,idle-2-star,7,falcon+sprout,Lost,6,0,38,0,0,540,2,1,209.6
balance.json,glade,idle-2-star,7,falcon+otter,Lost,5,0,34,0,0,472,2,1,189.0
balance.json,glade,idle-2-star,7,falcon+fox,Lost,6,0,45,0,0,576,2,1,217.3
balance.json,glade,idle-2-star,7,falcon+turtle,Lost,6,0,40,0,0,549,2,1,212.6
balance.json,glade,idle-2-star,7,falcon+deer,Lost,5,0,32,0,0,466,2,1,176.6
balance.json,glade,idle-2-star,7,falcon+bat,Lost,6,0,39,0,0,548,2,1,212.4
balance.json,glade,idle-1-star,7,sprout+sprout,Lost,5,0,20,0,0,395,1,1,190.8
balance.json,glade,idle-2-star,7,sprout+sprout,Lost,5,0,27,0,0,436,2,1,179.6
balance.json,glade,idle-2-star,7,sprout+otter,Lost,5,0,32,0,0,462,2,1,185.8
balance.json,glade,idle-2-star,7,sprout+fox,Lost,6,0,44,0,0,576,2,1,217.6
balance.json,glade,idle-2-star,7,sprout+turtle,Lost,6,0,38,0,0,537,2,1,225.4
balance.json,glade,idle-2-star,7,sprout+deer,Lost,5,0,32,0,0,463,2,1,183.0
balance.json,glade,idle-2-star,7,sprout+bat,Lost,5,0,32,0,0,463,2,1,182.2
balance.json,glade,idle-1-star,7,otter+otter,Lost,4,0,16,0,0,339,1,1,172.9
balance.json,glade,idle-2-star,7,otter+otter,Lost,5,0,30,0,0,446,2,1,190.7
balance.json,glade,idle-2-star,7,otter+fox,Lost,6,0,46,0,0,587,2,1,223.4
balance.json,glade,idle-2-star,7,otter+turtle,Lost,5,0,31,0,0,451,2,1,187.0
balance.json,glade,idle-2-star,7,otter+deer,Lost,5,0,31,0,0,454,2,1,184.7
balance.json,glade,idle-2-star,7,otter+bat,Lost,5,0,32,0,0,459,2,1,186.5
balance.json,glade,idle-1-star,7,fox+fox,Lost,5,0,26,0,0,427,1,1,184.4
balance.json,glade,idle-2-star,7,fox+fox,Lost,6,0,49,0,0,605,2,1,233.2
